optIter	freq	Eq_Tx
1348	4.00000000000000000E9	5.91142526025894632E-2
1348	4.00300000000000011E9	5.93461459825636251E-2
1348	4.00600000000000023E9	5.95790458347486407E-2
1348	4.00899999999999945E9	5.98129578989963306E-2
1348	4.01199999999999957E9	6.00478879536983534E-2
1348	4.01499999999999968E9	6.02838418160271505E-2
1348	4.01799999999999979E9	6.05208253421986697E-2
1348	4.02099999999999991E9	6.07588444277194561E-2
1348	4.02399999999999913E9	6.09979050076371454E-2
1348	4.02699999999999925E9	6.12380130568062864E-2
1348	4.02999999999999936E9	6.14791745901361786E-2
1348	4.03299999999999947E9	6.17213956628552118E-2
1348	4.03599999999999959E9	6.19646823707675320E-2
1348	4.03899999999999970E9	6.22090408505164660E-2
1348	4.04199999999999982E9	6.24544772798488168E-2
1348	4.04499999999999993E9	6.27009978778740695E-2
1348	4.04800000000000004E9	6.29486089053357567E-2
1348	4.05100000000000016E9	6.31973166648747231E-2
1348	4.05400000000000027E9	6.34471275013036706E-2
1348	4.05700000000000038E9	6.36980478018693752E-2
1348	4.06000000000000050E9	6.39500839965295143E-2
1348	4.06300000000000061E9	6.42032425582270072E-2
1348	4.06600000000000072E9	6.44575300031578369E-2
1348	4.06899999999999995E9	6.47129528910539165E-2
1348	4.07200000000000006E9	6.49695178254585226E-2
1348	4.07500000000000018E9	6.52272314540036557E-2
1348	4.07800000000000029E9	6.54861004686901360E-2
1348	4.08100000000000041E9	6.57461316061742185E-2
1348	4.08399999999999963E9	6.60073316480437189E-2
1348	4.08699999999999974E9	6.62697074211077997E-2
1348	4.08999999999999986E9	6.65332657976810360E-2
1348	4.09299999999999997E9	6.67980136958741078E-2
1348	4.09600000000000009E9	6.70639580798772350E-2
1348	4.09899999999999931E9	6.73311059602543871E-2
1348	4.10199999999999942E9	6.75994643942367901E-2
1348	4.10499999999999954E9	6.78690404860117802E-2
1348	4.10799999999999965E9	6.81398413870193131E-2
1348	4.11099999999999977E9	6.84118742962536786E-2
1348	4.11399999999999988E9	6.86851464605521400E-2
1348	4.11699999999999999E9	6.89596651748991718E-2
1348	4.12000000000000011E9	6.92354377827268941E-2
1348	4.12300000000000022E9	6.95124716762170447E-2
1348	4.12600000000000033E9	6.97907742966017430E-2
1348	4.12899999999999956E9	7.00703531344705866E-2
1348	4.13199999999999967E9	7.03512157300766283E-2
1348	4.13499999999999979E9	7.06333696736459604E-2
1348	4.13799999999999990E9	7.09168226056814532E-2
1348	4.14100000000000001E9	7.12015822172775437E-2
1348	4.14400000000000013E9	7.14876562504294011E-2
1348	4.14700000000000024E9	7.17750524983509131E-2
1348	4.15000000000000036E9	7.20637788057794193E-2
1348	4.15300000000000047E9	7.23538430693021706E-2
1348	4.15600000000000058E9	7.26452532376673332E-2
1348	4.15899999999999981E9	7.29380173121048259E-2
1348	4.16199999999999992E9	7.32321433466441007E-2
1348	4.16500000000000004E9	7.35276394484383200E-2
1348	4.16800000000000015E9	7.38245137780834604E-2
1348	4.17100000000000026E9	7.41227745499463353E-2
1348	4.17399999999999949E9	7.44224300324831844E-2
1348	4.17699999999999960E9	7.47234885485712574E-2
1348	4.17999999999999972E9	7.50259584758352194E-2
1348	4.18299999999999983E9	7.53298482469802888E-2
1348	4.18599999999999994E9	7.56351663501080829E-2
1348	4.18900000000000006E9	7.59419213290685846E-2
1348	4.19200000000000017E9	7.62501217837694956E-2
1348	4.19500000000000028E9	7.65597763705327061E-2
1348	4.19800000000000040E9	7.68708938024136046E-2
1348	4.20100000000000051E9	7.71834828495432212E-2
1348	4.20399999999999974E9	7.74975523394615351E-2
1348	4.20699999999999985E9	7.78131111574612788E-2
1348	4.20999999999999996E9	7.81301682469231551E-2
1348	4.21300000000000008E9	7.84487326096582205E-2
1348	4.21600000000000019E9	7.87688133062472140E-2
1348	4.21899999999999942E9	7.90904194563854901E-2
1348	4.22199999999999953E9	7.94135602392261308E-2
1348	4.22499999999999964E9	7.97382448937237598E-2
1348	4.22799999999999976E9	8.00644827189803543E-2
1348	4.23099999999999987E9	8.03922830745912442E-2
1348	4.23399999999999999E9	8.07216553809964665E-2
1348	4.23700000000000010E9	8.10526091198203247E-2
1348	4.24000000000000021E9	8.13851538342314029E-2
1348	4.24300000000000033E9	8.17192991292876059E-2
1348	4.24600000000000044E9	8.20550546722835605E-2
1348	4.24899999999999967E9	8.23924301931072200E-2
1348	4.25199999999999978E9	8.27314354845926658E-2
1348	4.25499999999999989E9	8.30720804028704052E-2
1348	4.25800000000000001E9	8.34143748677241703E-2
1348	4.26100000000000012E9	8.37583288629437028E-2
1348	4.26400000000000023E9	8.41039524366792968E-2
1348	4.26700000000000035E9	8.44512557017986332E-2
1348	4.27000000000000046E9	8.48002488362494944E-2
1348	4.27300000000000058E9	8.51509420834029207E-2
1348	4.27600000000000069E9	8.55033457524245932E-2
1348	4.27899999999999991E9	8.58574702186242256E-2
1348	4.28200000000000003E9	8.62133259238186334E-2
1348	4.28500000000000014E9	8.65709233766897057E-2
1348	4.28800000000000026E9	8.69302731531403339E-2
1348	4.29100000000000037E9	8.72913858966596301E-2
1348	4.29399999999999959E9	8.76542723186772221E-2
1348	4.29699999999999971E9	8.80189431989265181E-2
1348	4.29999999999999982E9	8.83854093858059109E-2
1348	4.30299999999999994E9	8.87536817967351155E-2
1348	4.30600000000000005E9	8.91237714185196239E-2
1348	4.30899999999999928E9	8.94956893077080018E-2
1348	4.31199999999999939E9	8.98694465909526130E-2
1348	4.31499999999999950E9	9.02450544653776099E-2
1348	4.31799999999999962E9	9.06225241989252517E-2
1348	4.32099999999999973E9	9.10018671307286020E-2
1348	4.32399999999999984E9	9.13830946714636561E-2
1348	4.32699999999999996E9	9.17662183037134760E-2
1348	4.33000000000000007E9	9.21512495823259314E-2
1348	4.33300000000000018E9	9.25382001347704275E-2
1348	4.33600000000000030E9	9.29270816615001927E-2
1348	4.33900000000000041E9	9.33179059363076036E-2
1348	4.34200000000000053E9	9.37106848066821385E-2
1348	4.34500000000000064E9	9.41054301941680471E-2
1348	4.34800000000000075E9	9.45021540947169214E-2
1348	4.35100000000000087E9	9.49008685790480655E-2
1348	4.35400000000000009E9	9.53015857929967503E-2
1348	4.35700000000000021E9	9.57043179578732151E-2
1348	4.36000000000000032E9	9.61090773708111179E-2
1348	4.36300000000000043E9	9.65158764051223628E-2
1348	4.36600000000000055E9	9.69247275106420680E-2
1348	4.36899999999999977E9	9.73356432140801076E-2
1348	4.37199999999999989E9	9.77486361193698627E-2
1348	4.37500000000000000E9	9.81637189080176675E-2
1348	4.37800000000000011E9	9.85809043394352891E-2
1348	4.38100000000000023E9	9.90002052512951103E-2
1348	4.38399999999999945E9	9.94216345598677620E-2
1348	4.38699999999999957E9	9.98452052603581208E-2
1348	4.38999999999999968E9	1.00270930427250704E-1
1348	4.39299999999999979E9	1.00698823214635413E-1
1348	4.39599999999999991E9	1.01128896856552286E-1
1348	4.39899999999999913E9	1.01561164667314419E-1
1348	4.40199999999999925E9	1.01995640041841606E-1
1348	4.40499999999999936E9	1.02432336455986106E-1
1348	4.40799999999999947E9	1.02871267466859240E-1
1348	4.41099999999999959E9	1.03312446713152073E-1
1348	4.41399999999999970E9	1.03755887915452094E-1
1348	4.41699999999999982E9	1.04201604876565068E-1
1348	4.41999999999999993E9	1.04649611481823257E-1
1348	4.42300000000000004E9	1.05099921699402876E-1
1348	4.42600000000000016E9	1.05552549580625743E-1
1348	4.42900000000000027E9	1.06007509260268429E-1
1348	4.43200000000000038E9	1.06464814956853115E-1
1348	4.43500000000000050E9	1.06924480972959701E-1
1348	4.43800000000000061E9	1.07386521695507975E-1
1348	4.44100000000000072E9	1.07850951596057620E-1
1348	4.44399999999999995E9	1.08317785231081043E-1
1348	4.44700000000000006E9	1.08787037242257778E-1
1348	4.45000000000000018E9	1.09258722356746829E-1
1348	4.45300000000000029E9	1.09732855387458317E-1
1348	4.45600000000000041E9	1.10209451233329303E-1
1348	4.45899999999999963E9	1.10688524879580341E-1
1348	4.46199999999999974E9	1.11170091397982351E-1
1348	4.46499999999999986E9	1.11654165947103512E-1
1348	4.46799999999999997E9	1.12140763772565211E-1
1348	4.47100000000000009E9	1.12629900207282940E-1
1348	4.47399999999999931E9	1.13121590671708483E-1
1348	4.47699999999999942E9	1.13615850674059193E-1
1348	4.47999999999999954E9	1.14112695810548126E-1
1348	4.48299999999999965E9	1.14612141765602416E-1
1348	4.48599999999999977E9	1.15114204312085522E-1
1348	4.48899999999999988E9	1.15618899311497447E-1
1348	4.49199999999999999E9	1.16126242714183370E-1
1348	4.49500000000000011E9	1.16636250559526777E-1
1348	4.49800000000000022E9	1.17148938976142025E-1
1348	4.50100000000000033E9	1.17664324182050017E-1
1348	4.50399999999999956E9	1.18182422484859528E-1
1348	4.50699999999999967E9	1.18703250281929229E-1
1348	4.50999999999999979E9	1.19226824060530956E-1
1348	4.51299999999999990E9	1.19753160397999081E-1
1348	4.51600000000000001E9	1.20282275961872220E-1
1348	4.51900000000000013E9	1.20814187510033300E-1
1348	4.52200000000000024E9	1.21348911890830546E-1
1348	4.52500000000000036E9	1.21886466043200081E-1
1348	4.52800000000000047E9	1.22426866996770367E-1
1348	4.53100000000000058E9	1.22970131871964261E-1
1348	4.53399999999999981E9	1.23516277880086855E-1
1348	4.53699999999999992E9	1.24065322323409366E-1
1348	4.54000000000000004E9	1.24617282595234058E-1
1348	4.54300000000000015E9	1.25172176179954708E-1
1348	4.54600000000000026E9	1.25730020653114782E-1
