optIter	freq	Eq_Tx
1468	4.00000000000000000E9	2.75881737855798947E-2
1468	4.00300000000000011E9	2.76630395272170571E-2
1468	4.00600000000000023E9	2.77382813623489044E-2
1468	4.00899999999999945E9	2.78139017637616970E-2
1468	4.01199999999999957E9	2.78899032215127107E-2
1468	4.01499999999999968E9	2.79662882430810189E-2
1468	4.01799999999999979E9	2.80430593535275108E-2
1468	4.02099999999999991E9	2.81202190956492437E-2
1468	4.02399999999999913E9	2.81977700301360823E-2
1468	4.02699999999999925E9	2.82757147357353045E-2
1468	4.02999999999999936E9	2.83540558094078632E-2
1468	4.03299999999999947E9	2.84327958664948088E-2
1468	4.03599999999999959E9	2.85119375408790710E-2
1468	4.03899999999999970E9	2.85914834851525779E-2
1468	4.04199999999999982E9	2.86714363707840025E-2
1468	4.04499999999999993E9	2.87517988882853093E-2
1468	4.04800000000000004E9	2.88325737473844868E-2
1468	4.05100000000000016E9	2.89137636771959583E-2
1468	4.05400000000000027E9	2.89953714263965523E-2
1468	4.05700000000000038E9	2.90773997633972980E-2
1468	4.06000000000000050E9	2.91598514765222294E-2
1468	4.06300000000000061E9	2.92427293741878414E-2
1468	4.06600000000000072E9	2.93260362850796064E-2
1468	4.06899999999999995E9	2.94097750583373907E-2
1468	4.07200000000000006E9	2.94939485637377796E-2
1468	4.07500000000000018E9	2.95785596918784055E-2
1468	4.07800000000000029E9	2.96636113543649094E-2
1468	4.08100000000000041E9	2.97491064840018904E-2
1468	4.08399999999999963E9	2.98350480349797031E-2
1468	4.08699999999999974E9	2.99214389830694039E-2
1468	4.08999999999999986E9	3.00082823258153786E-2
1468	4.09299999999999997E9	3.00955810827328207E-2
1468	4.09600000000000009E9	3.01833382955026375E-2
1468	4.09899999999999931E9	3.02715570281730439E-2
1468	4.10199999999999942E9	3.03602403673608023E-2
1468	4.10499999999999954E9	3.04493914224534867E-2
1468	4.10799999999999965E9	3.05390133258146346E-2
1468	4.11099999999999977E9	3.06291092329936721E-2
1468	4.11399999999999988E9	3.07196823229306215E-2
1468	4.11699999999999999E9	3.08107357981700503E-2
1468	4.12000000000000011E9	3.09022728850732875E-2
1468	4.12300000000000022E9	3.09942968340339409E-2
1468	4.12600000000000033E9	3.10868109196938081E-2
1468	4.12899999999999956E9	3.11798184411628254E-2
1468	4.13199999999999967E9	3.12733227222402466E-2
1468	4.13499999999999979E9	3.13673271116391161E-2
1468	4.13799999999999990E9	3.14618349832088651E-2
1468	4.14100000000000001E9	3.15568497361653000E-2
1468	4.14400000000000013E9	3.16523747953191270E-2
1468	4.14700000000000024E9	3.17484136113097115E-2
1468	4.15000000000000036E9	3.18449696608352140E-2
1468	4.15300000000000047E9	3.19420464468936416E-2
1468	4.15600000000000058E9	3.20396474990184155E-2
1468	4.15899999999999981E9	3.21377763735206923E-2
1468	4.16199999999999992E9	3.22364366537316105E-2
1468	4.16500000000000004E9	3.23356319502489864E-2
1468	4.16800000000000015E9	3.24353659011834328E-2
1468	4.17100000000000026E9	3.25356421724110012E-2
1468	4.17399999999999949E9	3.26364644578229735E-2
1468	4.17699999999999960E9	3.27378364795828114E-2
1468	4.17999999999999972E9	3.28397619883832981E-2
1468	4.18299999999999983E9	3.29422447637089633E-2
1468	4.18599999999999994E9	3.30452886140914170E-2
1468	4.18900000000000006E9	3.31488973773840900E-2
1468	4.19200000000000017E9	3.32530749210196142E-2
1468	4.19500000000000028E9	3.33578251422897543E-2
1468	4.19800000000000040E9	3.34631519686113332E-2
1468	4.20100000000000051E9	3.35690593578046936E-2
1468	4.20399999999999974E9	3.36755512983694372E-2
1468	4.20699999999999985E9	3.37826318097681177E-2
1468	4.20999999999999996E9	3.38903049427076919E-2
1468	4.21300000000000008E9	3.39985747794265558E-2
1468	4.21600000000000019E9	3.41074454339824307E-2
1468	4.21899999999999942E9	3.42169210525455014E-2
1468	4.22199999999999953E9	3.43270058136921952E-2
1468	4.22499999999999964E9	3.44377039287030184E-2
1468	4.22799999999999976E9	3.45490196418624551E-2
1468	4.23099999999999987E9	3.46609572307622216E-2
1468	4.23399999999999999E9	3.47735210066092293E-2
1468	4.23700000000000010E9	3.48867153145308873E-2
1468	4.24000000000000021E9	3.50005445338917198E-2
1468	4.24300000000000033E9	3.51150130786071424E-2
1468	4.24600000000000044E9	3.52301253974590400E-2
1468	4.24899999999999967E9	3.53458859744208631E-2
1468	4.25199999999999978E9	3.54622993289805866E-2
1468	4.25499999999999989E9	3.55793700164685811E-2
1468	4.25800000000000001E9	3.56971026283893433E-2
1468	4.26100000000000012E9	3.58155017927544739E-2
1468	4.26400000000000023E9	3.59345721744201319E-2
1468	4.26700000000000035E9	3.60543184754283086E-2
1468	4.27000000000000046E9	3.61747454353533282E-2
1468	4.27300000000000058E9	3.62958578316434632E-2
1468	4.27600000000000069E9	3.64176604799777204E-2
1468	4.27899999999999991E9	3.65401582346169151E-2
1468	4.28200000000000003E9	3.66633559887623361E-2
1468	4.28500000000000014E9	3.67872586749178954E-2
1468	4.28800000000000026E9	3.69118712652529091E-2
1468	4.29100000000000037E9	3.70371987719734541E-2
1468	4.29399999999999959E9	3.71632462476914904E-2
1468	4.29699999999999971E9	3.72900187858024657E-2
1468	4.29999999999999982E9	3.74175215208654244E-2
1468	4.30299999999999994E9	3.75457596289838280E-2
1468	4.30600000000000005E9	3.76747383281950565E-2
1468	4.30899999999999928E9	3.78044628788590309E-2
1468	4.31199999999999939E9	3.79349385840538300E-2
1468	4.31499999999999950E9	3.80661707899769208E-2
1468	4.31799999999999962E9	3.81981648863419210E-2
