optIter	freq	Eq_Tx
1190	4.00000000000000000E9	4.28811941049171708E-2
1190	4.00300000000000011E9	4.30465960853554286E-2
1190	4.00600000000000023E9	4.32127629839439908E-2
1190	4.00899999999999945E9	4.33796996342387153E-2
1190	4.01199999999999957E9	4.35474109052926828E-2
1190	4.01499999999999968E9	4.37159017019246932E-2
1190	4.01799999999999979E9	4.38851769650027990E-2
1190	4.02099999999999991E9	4.40552416717189743E-2
1190	4.02399999999999913E9	4.42261008358669372E-2
1190	4.02699999999999925E9	4.43977595081329035E-2
1190	4.02999999999999936E9	4.45702227763737913E-2
1190	4.03299999999999947E9	4.47434957659098043E-2
1190	4.03599999999999959E9	4.49175836398115091E-2
1190	4.03899999999999970E9	4.50924915991945152E-2
1190	4.04199999999999982E9	4.52682248835149714E-2
1190	4.04499999999999993E9	4.54447887708633314E-2
1190	4.04800000000000004E9	4.56221885782684744E-2
1190	4.05100000000000016E9	4.58004296619969864E-2
1190	4.05400000000000027E9	4.59795174178622279E-2
1190	4.05700000000000038E9	4.61594572815260662E-2
1190	4.06000000000000050E9	4.63402547288123934E-2
1190	4.06300000000000061E9	4.65219152760205201E-2
1190	4.06600000000000072E9	4.67044444802354342E-2
1190	4.06899999999999995E9	4.68878479396500758E-2
1190	4.07200000000000006E9	4.70721312938844783E-2
1190	4.07500000000000018E9	4.72573002243072882E-2
1190	4.07800000000000029E9	4.74433604543609810E-2
1190	4.08100000000000041E9	4.76303177498936225E-2
1190	4.08399999999999963E9	4.78181779194844125E-2
1190	4.08699999999999974E9	4.80069468147811396E-2
1190	4.08999999999999986E9	4.81966303308347044E-2
1190	4.09299999999999997E9	4.83872344064405979E-2
1190	4.09600000000000009E9	4.85787650244761515E-2
1190	4.09899999999999931E9	4.87712282122483209E-2
1190	4.10199999999999942E9	4.89646300418418523E-2
1190	4.10499999999999954E9	4.91589766304667641E-2
1190	4.10799999999999965E9	4.93542741408116470E-2
1190	4.11099999999999977E9	4.95505287814046991E-2
1190	4.11399999999999988E9	4.97477468069646456E-2
1190	4.11699999999999999E9	4.99459345187681070E-2
1190	4.12000000000000011E9	5.01450982650120913E-2
1190	4.12300000000000022E9	5.03452444411829791E-2
1190	4.12600000000000033E9	5.05463794904251351E-2
1190	4.12899999999999956E9	5.07485099039156839E-2
1190	4.13199999999999967E9	5.09516422212411424E-2
1190	4.13499999999999979E9	5.11557830307788119E-2
1190	4.13799999999999990E9	5.13609389700755958E-2
1190	4.14100000000000001E9	5.15671167262368790E-2
1190	4.14400000000000013E9	5.17743230363138984E-2
1190	4.14700000000000024E9	5.19825646876988312E-2
1190	4.15000000000000036E9	5.21918485185130088E-2
1190	4.15300000000000047E9	5.24021814180136847E-2
1190	4.15600000000000058E9	5.26135703269902333E-2
1190	4.15899999999999981E9	5.28260222381709710E-2
1190	4.16199999999999992E9	5.30395441966297554E-2
1190	4.16500000000000004E9	5.32541433001993436E-2
1190	4.16800000000000015E9	5.34698266998831961E-2
1190	4.17100000000000026E9	5.36866016002765267E-2
1190	4.17399999999999949E9	5.39044752599834709E-2
1190	4.17699999999999960E9	5.41234549920443975E-2
1190	4.17999999999999972E9	5.43435481643629181E-2
1190	4.18299999999999983E9	5.45647622001411836E-2
1190	4.18599999999999994E9	5.47871045783030919E-2
1190	4.18900000000000006E9	5.50105828339482628E-2
1190	4.19200000000000017E9	5.52352045587762674E-2
1190	4.19500000000000028E9	5.54609774015480372E-2
1190	4.19800000000000040E9	5.56879090685235756E-2
1190	4.20100000000000051E9	5.59160073239175759E-2
1190	4.20399999999999974E9	5.61452799903532096E-2
1190	4.20699999999999985E9	5.63757349493238191E-2
1190	4.20999999999999996E9	5.66073801416541489E-2
1190	4.21300000000000008E9	5.68402235679666656E-2
1190	4.21600000000000019E9	5.70742732891500548E-2
1190	4.21899999999999942E9	5.73095374268355151E-2
1190	4.22199999999999953E9	5.75460241638716674E-2
1190	4.22499999999999964E9	5.77837417448064095E-2
1190	4.22799999999999976E9	5.80226984763706266E-2
1190	4.23099999999999987E9	5.82629027279668499E-2
1190	4.23399999999999999E9	5.85043629321629943E-2
1190	4.23700000000000010E9	5.87470875851829799E-2
1190	4.24000000000000021E9	5.89910852474127445E-2
1190	4.24300000000000033E9	5.92363645439010078E-2
1190	4.24600000000000044E9	5.94829341648628507E-2
1190	4.24899999999999967E9	5.97308028661954360E-2
1190	4.25199999999999978E9	5.99799794699910738E-2
1190	4.25499999999999989E9	6.02304728650560506E-2
1190	4.25800000000000001E9	6.04822920074338910E-2
