freq	Eq_Tx
4.00000000000000000E9	9.06472645796397636E-4
4.01503759398496296E9	9.45526133810843916E-4
4.03007518796992503E9	9.86763857900438346E-4
4.04511278195488622E9	1.03032849352621336E-3
4.06015037593985006E9	1.07637335249344201E-3
4.07518796992481214E9	1.12506326522155575E-3
4.09022556390977599E9	1.17657554307985723E-3
4.10526315789473806E9	1.23110102859597559E-3
4.12030075187969924E9	1.28884524214150065E-3
4.13533834586466220E9	1.35002963458534464E-3
4.15037593984962516E9	1.41489295638435908E-3
4.16541353383458635E9	1.48369275465823591E-3
4.18045112781955019E9	1.55670701098869868E-3
4.19548872180451315E9	1.63423593399654177E-3
4.21052631578947434E9	1.71660392220081115E-3
4.22556390977443730E9	1.80416171425800975E-3
4.24060150375940026E9	1.89728874543659720E-3
4.25563909774436233E9	1.99639573111104873E-3
4.27067669172932352E9	2.10192750017489516E-3
4.28571428571428648E9	2.21436610359055797E-3
4.30075187969925032E9	2.33423422582403273E-3
4.31578947368421151E9	2.46209892967420174E-3
4.33082706766917358E9	2.59857576799881329E-3
4.34586466165413743E9	2.74433329908727508E-3
4.36090225563909861E9	2.90009804592030651E-3
4.37593984962406246E9	3.06665994330217373E-3
4.39097744360902453E9	3.24487832083957040E-3
4.40601503759398661E9	3.43568847393696597E-3
4.42105263157894957E9	3.64010887939067773E-3
4.43609022556391164E9	3.85924911667828763E-3
4.45112781954887282E9	4.09431856065071109E-3
4.46616541353383667E9	4.34663591587217191E-3
4.48120300751879874E9	4.61763966722230101E-3
4.49624060150376170E9	4.90889952534172647E-3
4.51127819548872289E9	5.22212894882880718E-3
4.52631578947368673E9	5.55919882743648053E-3
4.54135338345864881E9	5.92215241142472060E-3
4.55639097744361088E9	6.31322157114344673E-3
4.57142857142857473E9	6.73484446713559226E-3
4.58646616541353591E9	7.18968470365133250E-3
4.60150375939849887E9	7.68065202633713184E-3
4.61654135338346094E9	8.21092460661514778E-3
4.63157894736842302E9	8.78397292917381556E-3
4.64661654135338598E9	9.40358526300369491E-3
4.66165413533834894E9	1.00738946479976588E-2
4.67669172932331101E9	1.07994072653344286E-2
4.69172932330827308E9	1.15850319771969801E-2
4.70676691729323515E9	1.24361107157959760E-2
4.72180451127819900E9	1.33584492686386458E-2
4.73684210526316107E9	1.43583478414952381E-2
4.75187969924812315E9	1.54426305772536843E-2
4.76691729323308522E9	1.66186729624621687E-2
