freq	Eq_Tx
4.00000000000000000E9	2.37267841265632562E-4
4.01503759398496296E9	2.43725866528331192E-4
4.03007518796992503E9	2.50439959415013247E-4
4.04511278195488622E9	2.57421787996769069E-4
4.06015037593985006E9	2.64683646340557477E-4
4.07518796992481214E9	2.72238491954256734E-4
4.09022556390977599E9	2.80099985744361124E-4
4.10526315789473806E9	2.88282534671515567E-4
4.12030075187969924E9	2.96801337303099722E-4
4.13533834586466220E9	3.05672432478536482E-4
4.15037593984962516E9	3.14912751320933770E-4
4.16541353383458635E9	3.24540172847301100E-4
4.18045112781955019E9	3.34573583450779566E-4
4.19548872180451315E9	3.45032940550824563E-4
4.21052631578947434E9	3.55939340732404075E-4
4.22556390977443730E9	3.67315092721807179E-4
4.24060150375940026E9	3.79183795576506988E-4
4.25563909774436233E9	3.91570422498628945E-4
4.27067669172932352E9	4.04501410716647669E-4
4.28571428571428648E9	4.18004757918456615E-4
4.30075187969925032E9	4.32110125760863806E-4
4.31578947368421151E9	4.46848951027045072E-4
4.33082706766917358E9	4.62254565053059618E-4
4.34586466165413743E9	4.78362322100622439E-4
4.36090225563909861E9	4.95209737413111828E-4
4.37593984962406246E9	5.12836635758545967E-4
4.39097744360902453E9	5.31285311336663479E-4
4.40601503759398661E9	5.50600700005483823E-4
4.42105263157894957E9	5.70830564873543889E-4
4.43609022556391164E9	5.92025696397643841E-4
4.45112781954887282E9	6.14240128235067484E-4
4.46616541353383667E9	6.37531370214501880E-4
4.48120300751879874E9	6.61960659920511318E-4
4.49624060150376170E9	6.87593234527911257E-4
4.51127819548872289E9	7.14498624679913519E-4
4.52631578947368673E9	7.42750972377629992E-4
4.54135338345864881E9	7.72429375039981903E-4
4.55639097744361088E9	8.03618258105049321E-4
4.57142857142857473E9	8.36407778778795929E-4
4.58646616541353591E9	8.70894263796572154E-4
4.60150375939849887E9	9.07180684350476518E-4
4.61654135338346094E9	9.45377171655410287E-4
4.63157894736842302E9	9.85601576979622251E-4
4.64661654135338598E9	1.02798008036005628E-3
4.66165413533834894E9	1.07264785265923934E-3
4.67669172932331101E9	1.11974977610618276E-3
4.69172932330827308E9	1.16944122900551761E-3
4.70676691729323515E9	1.22188894090120925E-3
4.72180451127819900E9	1.27727192515303845E-3
4.73684210526316107E9	1.33578249663368420E-3
4.75187969924812315E9	1.39762738309109569E-3
4.76691729323308522E9	1.46302893965553382E-3
4.78195488721804729E9	1.53222647701745096E-3
4.79699248120301025E9	1.60547771497086611E-3
4.81203007518797321E9	1.68306037433129729E-3
4.82706766917293528E9	1.76527392170329533E-3
4.84210526315789913E9	1.85244148322513968E-3
4.85714285714286031E9	1.94491194526809408E-3
4.87218045112782239E9	2.04306226215101061E-3
4.88721804511278446E9	2.14729999326939147E-3
4.90225563909774742E9	2.25806609467666153E-3
4.91729323308270949E9	2.37583799312248356E-3
4.93233082706767245E9	2.50113297390183753E-3
4.94736842105263541E9	2.63451191764758130E-3
4.96240601503759837E9	2.77658342546383619E-3
4.97744360902255956E9	2.92800837662568281E-3
4.99248120300752252E9	3.08950496852081180E-3
5.00751879699248548E9	3.26185429469004173E-3
5.02255639097744844E9	3.44590652381883134E-3
5.03759398496241051E9	3.64258775046371897E-3
5.05263157894737169E9	3.85290759730053001E-3
5.06766917293233465E9	4.07796765889373614E-3
5.08270676691729761E9	4.31897088859428813E-3
5.09774436090225969E9	4.57723204336273781E-3
5.11278195488722176E9	4.85418931631033423E-3
5.12781954887218472E9	5.15141730381803331E-3
5.14285714285714679E9	5.47064147350248131E-3
5.15789473684210797E9	5.81375432141129611E-3
5.17293233082707271E9	6.18283343198089863E-3
5.18796992481203478E9	6.58016168294844306E-3
5.20300751879699597E9	7.00824987001312216E-3
5.21804511278195982E9	7.46986206315428802E-3
5.23308270676692100E9	7.96804404872150585E-3
5.24812030075188574E9	8.50615525937335448E-3
5.26315789473684781E9	9.08790464839943724E-3
5.27819548872181077E9	9.71739102667089050E-3
5.29323308270677195E9	1.03991484503008325E-2
5.30827067669173402E9	1.11381973258933975E-2
5.32330827067669698E9	1.19401019889055737E-2
5.33834586466165906E9	1.28110356099821399E-2
5.35338345864662202E9	1.37578533948294779E-2
5.36842105263158498E9	1.47881751658156224E-2
5.38345864661654794E9	1.59104785481193778E-2
5.39849624060150823E9	1.71342041294858261E-2
5.41353383458647208E9	1.84698741191323901E-2
5.42857142857143327E9	1.99292261955231997E-2
5.44360902255639623E9	2.15253644000574118E-2
5.45864661654136007E9	2.32729290971358127E-2
5.47368421052632215E9	2.51882881696821848E-2
5.48872180451128422E9	2.72897517370272968E-2
5.50375939849624629E9	2.95978127460528295E-2
5.51879699248120925E9	3.21354157638822713E-2
5.53383458646617132E9	3.49282561456498764E-2
5.54887218045113428E9	3.80051114009920177E-2
5.56390977443609636E9	4.13982059524456414E-2
5.57894736842105932E9	4.51436094527789233E-2
5.59398496240602050E9	4.92816672538986555E-2
5.60902255639098435E9	5.38574592976767885E-2
5.62406015037594642E9	5.89212803719756550E-2
5.63909774436090849E9	6.45291300196455353E-2
5.65413533834587057E9	7.07431940065671672E-2
5.66917293233083353E9	7.76322906757056952E-2
5.68421052631579560E9	8.52722442061124752E-2
5.69924812030075856E9	9.37461322066326730E-2
5.71428571428572063E9	1.03144336710010687E-1
5.72932330827068359E9	1.13564305203675442E-1
5.74436090225564566E9	1.25109901988524763E-1
5.75939849624060862E9	1.37890200853053724E-1
5.77443609022556981E9	1.52017540072051838E-1
5.78947368421053188E9	1.67604634390432472E-1
5.80451127819549484E9	1.84760523060774040E-1
5.81954887218045780E9	2.03585138889822570E-1
5.83458646616542165E9	2.24162325325378031E-1
5.84962406015038372E9	2.46551225014191200E-1
5.86466165413534490E9	2.70776133153227461E-1
5.87969924812030786E9	2.96815167334888930E-1
5.89473684210527171E9	3.24588454514899372E-1
5.90977443609023290E9	3.53946952420474137E-1
5.92481203007519497E9	3.84663447101199862E-1
5.93984962406015704E9	4.16427596079889550E-1
5.95488721804512000E9	4.48846976486262594E-1
5.96992481203008207E9	4.81455802122366983E-1
5.98496240601504503E9	5.13732194507091755E-1
6.00000000000000711E9	5.45123650158786699E-1
6.01503759398496918E9	5.75078827217157418E-1
6.03007518796993214E9	6.03082327575765831E-1
6.04511278195489421E9	6.28688197730380960E-1
6.06015037593985717E9	6.51547755523892036E-1
6.07518796992481924E9	6.71428183356376174E-1
6.09022556390978131E9	6.88219923215465279E-1
6.10526315789474427E9	7.01932835437254177E-1
6.12030075187970724E9	7.12682834125851450E-1
6.13533834586466931E9	7.20671888737866517E-1
6.15037593984963138E9	7.26164712049973549E-1
6.16541353383459345E9	7.29465205578172871E-1
6.18045112781955819E9	7.30895028857853735E-1
6.19548872180452026E9	7.30775769884288984E-1
6.21052631578948144E9	7.29415347389482438E-1
6.22556390977444352E9	7.27098609963783105E-1
6.24060150375940559E9	7.24081661486667372E-1
6.25563909774436944E9	7.20589221329022855E-1
6.27067669172933329E9	7.16814271979409146E-1
6.28571428571429447E9	7.12919298339907304E-1
6.30075187969925654E9	7.09038531122477078E-1
6.31578947368421950E9	7.05280734136433729E-1
6.33082706766918157E9	7.01732198188294465E-1
6.34586466165414453E9	6.98459710466267403E-1
6.36090225563910838E9	6.95513353145390134E-1
6.37593984962406957E9	6.92929048767099864E-1
6.39097744360902986E9	6.90730815381425423E-1
6.40601503759399371E9	6.88932725039959770E-1
6.42105263157895667E9	6.87540578539484137E-1
6.43609022556391874E9	6.86553320446242132E-1
6.45112781954888170E9	6.85964223890925950E-1
6.46616541353384378E9	6.85761876331556142E-1
6.48120300751880585E9	6.85930996834893669E-1
6.49624060150376881E9	6.86453113406432536E-1
6.51127819548873088E9	6.87307126164265547E-1
6.52631578947369206E9	6.88469779128741077E-1
6.54135338345865591E9	6.89916060347452476E-1
6.55639097744361798E9	6.91619547141326141E-1
6.57142857142858094E9	6.93552710515431414E-1
6.58646616541354479E9	6.95687190257009291E-1
6.60150375939850598E9	6.97994049943834494E-1
6.61654135338346805E9	7.00444018998940265E-1
6.63157894736843012E9	7.03007727038133634E-1
6.64661654135339397E9	7.05655934050732547E-1
6.66165413533835515E9	7.08359758423474339E-1
6.67669172932331811E9	7.11090903458288714E-1
6.69172932330828019E9	7.13821881848865747E-1
6.70676691729324137E9	7.16526236574201203E-1
6.72180451127820788E9	7.19178755849741158E-1
6.73684210526316996E9	7.21755679155892693E-1
6.75187969924813114E9	7.24234890949639443E-1
6.76691729323309410E9	7.26596098460285500E-1
6.78195488721805440E9	7.28820989974691535E-1
6.79699248120301736E9	7.30893370222123195E-1
6.81203007518798120E9	7.32799269858035007E-1
6.82706766917294328E9	7.34527026596190957E-1
6.84210526315790624E9	7.36067336218784796E-1
6.85714285714286831E9	7.37413272467617542E-1
6.87218045112782949E9	7.38560275646882403E-1
6.88721804511279334E9	7.39506110606289724E-1
6.90225563909775452E9	7.40250795583212184E-1
6.91729323308271660E9	7.40796504125179212E-1
6.93233082706768045E9	7.41147442959029057E-1
6.94736842105264429E9	7.41309709194318156E-1
6.96240601503760548E9	7.41291130630452066E-1
6.97744360902256755E9	7.41101093170792335E-1
6.99248120300752873E9	7.40750359433435612E-1
7.00751879699249258E9	7.40250882594616932E-1
7.02255639097745465E9	7.39615619321466333E-1
7.03759398496241850E9	7.38858345364352775E-1
7.05263157894737880E9	7.37993477007438248E-1
7.06766917293234087E9	7.37035901142583327E-1
7.08270676691730472E9	7.36000816259469737E-1
7.09774436090226857E9	7.34903586155576960E-1
7.11278195488723064E9	7.33759607682976789E-1
7.12781954887219182E9	7.32584193380633497E-1
7.14285714285715478E9	7.31392469404727663E-1
7.15789473684211508E9	7.30199288773583532E-1
7.17293233082708070E9	7.29019159594933797E-1
7.18796992481204278E9	7.27866187643414264E-1
7.20300751879700396E9	7.26754032405769390E-1
7.21804511278196781E9	7.25695875507436661E-1
7.23308270676693077E9	7.24704400273478910E-1
7.24812030075189284E9	7.23791781053062877E-1
7.26315789473685403E9	7.22969680844554929E-1
7.27819548872181610E9	7.22249255690130898E-1
7.29323308270677995E9	7.21641164258556778E-1
7.30827067669174291E9	7.21155580994864120E-1
7.32330827067670498E9	7.20802211180108365E-1
7.33834586466166705E9	7.20590306206249753E-1
7.35338345864662823E9	7.20528677324861366E-1
7.36842105263159208E9	7.20625706068094818E-1
7.38345864661655327E9	7.20889349460543727E-1
7.39849624060151712E9	7.21327138036979498E-1
7.41353383458648274E9	7.21946164547809488E-1
7.42857142857144215E9	7.22753061068280545E-1
7.44360902255640422E9	7.23753962024004416E-1
7.45864661654136718E9	7.24954450402098960E-1
7.47368421052632925E9	7.26359484130830513E-1
7.48872180451129132E9	7.27973299281047925E-1
7.50375939849625251E9	7.29799286370548916E-1
7.51879699248121813E9	7.31839835642418723E-1
7.53383458646617754E9	7.34096146748996148E-1
7.54887218045114139E9	7.36567997819930298E-1
7.56390977443610346E9	7.39253468449454587E-1
7.57894736842106642E9	7.42148610741474002E-1
7.59398496240603027E9	7.45247062253252768E-1
7.60902255639099145E9	7.48539594553840182E-1
7.62406015037595353E9	7.52013591263110825E-1
7.63909774436091737E9	7.55652449997336539E-1
7.65413533834587678E9	7.59434903795167493E-1
7.66917293233084063E9	7.63334259560855521E-1
7.68421052631580359E9	7.67317554120259437E-1
7.69924812030076744E9	7.71344632976866063E-1
7.71428571428572951E9	7.75367163165772499E-1
7.72932330827068892E9	7.79327600149553135E-1
7.74436090225565277E9	7.83158139888127280E-1
7.75939849624061573E9	7.86779701374584395E-1
7.77443609022557958E9	7.90101002206965752E-1
7.78947368421054342E9	7.93017809970962073E-1
7.80451127819550283E9	7.95412474609409870E-1
7.81954887218046490E9	7.97153870029876277E-1
7.83458646616542875E9	7.98097894377377237E-1
7.84962406015038994E9	7.98088693819311423E-1
7.86466165413535556E9	7.96960779129144559E-1
7.87969924812031497E9	7.94542191402047138E-1
7.89473684210527882E9	7.90658835915335878E-1
7.90977443609024000E9	7.85140035139771619E-1
7.92481203007520207E9	7.77825249423283616E-1
7.93984962406016770E9	7.68571778035029141E-1
7.95488721804512711E9	7.57263092590114439E-1
7.96992481203009095E9	7.43817287006217143E-1
7.98496240601505480E9	7.28194979756335758E-1
8.00000000000001421E9	7.10405908118824847E-1
8.01503759398497984E9	6.90513443239941260E-1
8.03007518796993836E9	6.68636353258904492E-1
8.04511278195490220E9	6.44947355769467734E-1
8.06015037593986605E9	6.19668312489584405E-1
8.07518796992482990E9	5.93062285420607260E-1
8.09022556390979020E9	5.65423034638957667E-1
8.10526315789475049E9	5.37062828857251429E-1
8.12030075187971434E9	5.08299608938222569E-1
8.13533834586467819E9	4.79444565145862445E-1
8.15037593984964026E9	4.50791066061241796E-1
8.16541353383460411E9	4.22605643962291921E-1
8.18045112781956618E9	3.95121448725094071E-1
8.19548872180452825E9	3.68534284137926438E-1
8.21052631578949033E9	3.43001082209675845E-1
8.22556390977445417E9	3.18640481337646486E-1
8.24060150375941447E9	2.95535063425801869E-1
8.25563909774437654E9	2.73734768059936595E-1
8.27067669172933861E9	2.53261023451808720E-1
8.28571428571430069E9	2.34111194661224520E-1
8.30075187969926453E9	2.16263030708671655E-1
8.31578947368422838E9	1.99678878161334650E-1
8.33082706766918690E9	1.84309508812334499E-1
8.34586466165415253E9	1.70097476924443991E-1
8.36090225563911460E9	1.56979974641626296E-1
8.37593984962407845E9	1.44891192671729785E-1
8.39097744360904230E9	1.33764218871883545E-1
8.40601503759400259E9	1.23532522317608673E-1
