freq	Eq_Tx
4.00000000000000000E9	4.50381260984424792E-4
4.01503759398496296E9	4.63407923935130484E-4
4.03007518796992503E9	4.76991543155594755E-4
4.04511278195488622E9	4.91159661470518216E-4
4.06015037593985006E9	5.05941436733108141E-4
4.07518796992481214E9	5.21367748120737318E-4
4.09022556390977599E9	5.37471310319442175E-4
4.10526315789473806E9	5.54286796243192370E-4
4.12030075187969924E9	5.71850968990352015E-4
4.13533834586466220E9	5.90202823803907961E-4
4.15037593984962516E9	6.09383740872820567E-4
4.16541353383458635E9	6.29437649887666950E-4
4.18045112781955019E9	6.50411207349176923E-4
4.19548872180451315E9	6.72353987720900381E-4
4.21052631578947434E9	6.95318689620701402E-4
4.22556390977443730E9	7.19361358357859437E-4
4.24060150375940026E9	7.44541626248188759E-4
4.25563909774436233E9	7.70922972277158181E-4
4.27067669172932352E9	7.98573002833015355E-4
4.28571428571428648E9	8.27563755400405476E-4
4.30075187969925032E9	8.57972027290792028E-4
4.31578947368421151E9	8.89879731693096687E-4
4.33082706766917358E9	9.23374283554693775E-4
4.34586466165413743E9	9.58549018057999724E-4
4.36090225563909861E9	9.95503644737313920E-4
4.37593984962406246E9	1.03434474059359260E-3
4.39097744360902453E9	1.07518628591273835E-3
4.40601503759398661E9	1.11815024687528664E-3
4.42105263157894957E9	1.16336720948083894E-3
4.43609022556391164E9	1.21097706978305841E-3
4.45112781954887282E9	1.26112978597030168E-3
4.46616541353383667E9	1.31398619841888387E-3
4.48120300751879874E9	1.36971892451455934E-3
4.49624060150376170E9	1.42851333578015005E-3
4.51127819548872289E9	1.49056862568057480E-3
4.52631578947368673E9	1.55609897740997782E-3
4.54135338345864881E9	1.62533484201032885E-3
4.55639097744361088E9	1.69852433834408845E-3
4.57142857142857473E9	1.77593478776172153E-3
4.58646616541353591E9	1.85785439778487738E-3
4.60150375939849887E9	1.94459411079197952E-3
4.61654135338346094E9	2.03648963557013207E-3
4.63157894736842302E9	2.13390368170925449E-3
4.64661654135338598E9	2.23722841920238036E-3
4.66165413533834894E9	2.34688818830831725E-3
4.67669172932331101E9	2.46334248777631215E-3
4.69172932330827308E9	2.58708927297774549E-3
4.70676691729323515E9	2.71866859938837102E-3
4.72180451127819900E9	2.85866665128388320E-3
4.73684210526316107E9	3.00772020052491573E-3
4.75187969924812315E9	3.16652154599917246E-3
4.76691729323308522E9	3.33582399075504377E-3
4.78195488721804729E9	3.51644792121834415E-3
4.79699248120301025E9	3.70928756125266013E-3
4.81203007518797321E9	3.91531848336746613E-3
4.82706766917293528E9	4.13560597024378307E-3
4.84210526315789913E9	4.37131433215787180E-3
4.85714285714286031E9	4.62371730004123016E-3
4.87218045112782239E9	4.89420963009553489E-3
4.88721804511278446E9	5.18432007436459319E-3
4.90225563909774742E9	5.49572589281392876E-3
4.91729323308270949E9	5.83026910664638542E-3
4.93233082706767245E9	6.18997472025334528E-3
4.94736842105263541E9	6.57707117086233239E-3
4.96240601503759837E9	6.99401330115949538E-3
4.97744360902255956E9	7.44350819161370580E-3
4.99248120300752252E9	7.92854423658615470E-3
5.00751879699248548E9	8.45242390243856079E-3
5.02255639097744844E9	9.01880066759951404E-3
5.03759398496241051E9	9.63172071489974613E-3
5.05263157894737169E9	1.02956700264818801E-2
5.06766917293233465E9	1.10156276222743799E-2
5.08270676691729761E9	1.17971257854991052E-2
5.09774436090225969E9	1.26463182339390023E-2
5.11278195488722176E9	1.35700573245651102E-2
5.12781954887218472E9	1.45759815221596600E-2
5.14285714285714679E9	1.56726145196947009E-2
5.15789473684210797E9	1.68694775686370457E-2
5.17293233082707271E9	1.81772167587410105E-2
5.18796992481203478E9	1.96077471752125376E-2
5.20300751879699597E9	2.11744160492513300E-2
5.21804511278195982E9	2.28921871948091571E-2
5.23308270676692100E9	2.47778491729327399E-2
5.24812030075188574E9	2.68502497200627044E-2
5.26315789473684781E9	2.91305589816157573E-2
5.27819548872181077E9	3.16425639547819593E-2
5.29323308270677195E9	3.44129961913438631E-2
5.30827067669173402E9	3.74718941403441796E-2
5.32330827067669698E9	4.08530003817167220E-2
5.33834586466165906E9	4.45941922263182100E-2
